"m1","m2","m3","m4","m5","cl"
"7712",45.118,1.9658,0.62781,81,0.63593,2
"7713",47.271,1.0452,0.7053,88,0.62245,2
"7714",49.859,0.86506,0.99239,82,0.61658,2
"7715",66.527,0.92924,0.67437,88,0.64899,2
"7716",48.159,0.91569,0.53584,79,0.64117,2
"7717",68.519,1.542,0.65765,82,0.61607,2
"7718",63.973,1.4737,0.55384,80,0.66051,2
"7719",49.07,1.1694,0.85712,85,0.66851,2
"7720",59.803,0.87119,0.78002,81,0.64354,2
"7721",63.354,1.234,0.81344,83,0.67332,2
"7722",36.092,0.72768,0.89553,85,0.63228,2
"7723",57.924,1.4533,0.87469,85,0.66598,2
"7724",76.748,1.0814,0.69532,78,0.65662,2
"7725",53.583,0.88193,0.73405,77,0.64925,2
"7726",56.319,0.90069,0.68144,76,0.64756,2
"7727",61.707,1.4777,0.65874,84,0.6133,2
"7728",71.716,1.0651,0.77129,78,0.67136,2
"7729",67.128,0.76878,0.97578,82,0.6448,2
"7730",44.435,0.7803,0.5208,83,0.66449,2
"7731",57.667,1.4335,0.7345,82,0.63345,2
"7732",70.911,1.9714,0.74162,82,0.62124,2
"7733",48.755,1.3071,0.54006,87,0.64241,2
"7734",55.576,0.92281,0.68821,85,0.65461,2
"7735",44.561,0.68779,0.48627,86,0.67101,2
"7736",75.331,0.80301,0.48265,75,0.60163,2
"7737",54.83,1.1578,0.75838,81,0.66071,2
"7738",64.486,1.67,0.52217,78,0.59967,2
"7739",66.221,0.82896,0.66727,84,0.63241,2
"7740",62.53,0.68653,0.72501,85,0.66998,2
"7741",48.547,1.215,0.82388,84,0.63507,2
"7742",48.635,1.0937,0.90203,83,0.63076,2
"7743",73.305,0.50562,0.55215,75,0.60426,2
"7744",72.926,0.8391,0.65129,83,0.63958,2
"7745",47.706,1.6241,0.96081,83,0.63337,2
"7746",40.767,1.579,0.82914,82,0.63477,2
"7747",44.338,1.0613,0.98147,83,0.63782,2
"7748",56.947,1.3257,0.99754,83,0.63791,2
"7749",66.223,1.1535,0.99672,90,0.59896,2
"7750",48.816,0.96345,0.50418,86,0.64661,2
"7751",63.306,1.7381,0.99441,84,0.69353,2
"7752",56.629,1.1157,0.91452,82,0.66922,2
"7753",55.531,1.1325,0.71359,80,0.63417,2
"7754",54.42,2.1303,0.68032,86,0.63965,2
"7755",64.724,1.123,0.52599,84,0.67275,2
"7756",51.548,1.1862,0.57793,77,0.66298,2
"7757",63.937,0.48955,0.83787,81,0.66187,2
"7758",58.293,1.3303,0.538,86,0.6505,2
"7759",71.185,0.58301,0.4649,75,0.65167,2
